"PLAYER","POS","LG","TEAM","AGE","$$$","PA","AB","IP","HR","RBI","SB","AVG","W","SV","ERA","WHIP"
"Rodriguez, Alex","3B","AL","NYA","32","$46.57","671","562","","35","115","22","0.294","","","","",
"Crawford, Carl","LF","AL","TBA","26","$44.51","668","617","","13","68","37","0.299","","","","",
"Roberts, Brian","2B","AL","BAL","30","$40.52","684","596","","14","69","36","0.285","","","","",
"Papelbon, Jonathan","RP","AL","BOS","27","$37.50","","","70","","","","","5","40","2.59","1.07",
"Street, Huston","RP","AL","OAK","24","$37.16","","","70","","","","","4","39","2.51","1.02",
"Sizemore, Grady","CF","AL","CLE","25","$36.82","722","623","","27","96","21","0.277","","","","",
"Ellsbury, Jacoby","LF","AL","BOS","24","$35.84","663","599","","5","59","36","0.288","","","","",
"Upton, B.J.","2B,CF","AL","TBA","23","$33.96","600","521","","18","68","31","0.270","","","","",
"Figgins, Chone","3B","AL","LAA","30","$32.64","608","533","","6","48","36","0.283","","","","",
"Sabathia, C.c.","SP","AL","CLE","27","$32.32","","","220","","","","","15","0","3.42","1.20",
"Cabrera, Miguel","3B","AL","DET","25","$31.96","688","604","","29","110","5","0.301","","","","",
"Putz, J.J.","RP","AL","SEA","31","$31.89","","","65","","","","","4","35","2.62","1.07",
"Kinsler, Ian","2B","AL","TEX","26","$31.47","684","602","","21","83","23","0.268","","","","",
"Ortiz, David","DH","AL","BOS","32","$31.02","686","563","","34","122","5","0.283","","","","",
"Guerrero, Vladimir","RF,DH","AL","LAA","32","$30.27","652","585","","22","102","6","0.311","","","","",
"Soria, Joakim","RP","AL","KCA","24","$30.27","","","75","","","","","4","36","3.16","1.19",
"Hunter, Torii","CF","AL","LAA","32","$29.59","600","546","","20","87","17","0.284","","","","",
"Rodriguez, Francisco","RP","AL","LAA","26","$28.82","","","65","","","","","4","35","2.79","1.21",
"Nathan, Joe","RP","AL","MIN","33","$28.48","","","65","","","","","4","33","2.91","1.13",
"Rivera, Mariano","RP","AL","NYA","38","$28.32","","","65","","","","","5","30","2.60","1.12",
"Rios, Alexis","CF,RF","AL","TOR","27","$28.30","647","583","","20","83","16","0.281","","","","",
"Suzuki, Ichiro","CF","AL","SEA","34","$27.89","684","634","","4","51","22","0.303","","","","",
"Young, Delmon","CF,RF","AL","MIN","22","$27.81","620","579","","17","81","14","0.294","","","","",
